iter	Passed	Remaining
830	1431	291
831	1432	289
832	1433	287
833	1434	285
834	1435	283
835	1436	281
836	1437	279
837	1438	278
838	1439	276
839	1440	274
840	1441	272
841	1442	270
842	1445	269
843	1446	267
844	1447	265
845	1448	263
846	1449	261
847	1451	260
848	1452	258
849	1453	256
850	1454	254
851	1455	252
852	1456	251
853	1457	249
854	1461	247
855	1462	246
856	1463	244
857	1464	242
858	1465	240
859	1466	238
860	1467	236
861	1468	235
862	1469	233
863	1471	231
864	1471	229
865	1475	228
866	1477	226
867	1478	224
868	1479	222
869	1480	221
870	1481	219
871	1482	217
872	1483	215
873	1484	214
874	1485	212
875	1486	210
876	1487	208
877	1488	206
878	1489	205
879	1490	203
880	1491	201
881	1492	199
882	1493	197
883	1494	196
884	1495	194
885	1496	192
886	1497	190
887	1498	189
888	1499	187
889	1503	185
890	1504	184
891	1505	182
892	1506	180
893	1507	178
894	1508	176
895	1509	175
896	1510	173
897	1511	171
898	1512	169
899	1512	168
900	1514	166
901	1514	164
902	1518	163
903	1519	161
904	1520	159
905	1521	157
906	1522	156
907	1523	154
908	1524	152
909	1525	150
910	1526	149
911	1527	147
912	1528	145
913	1529	143
914	1532	142
915	1534	140
916	1534	138
917	1535	137
918	1536	135
919	1537	133
920	1538	132
921	1539	130
922	1541	128
923	1542	126
924	1543	125
925	1544	123
926	1549	121
927	1551	120
928	1552	118
929	1553	116
930	1555	115
931	1556	113
932	1557	111
933	1559	110
934	1560	108
935	1563	106
936	1564	105
937	1565	103
938	1566	101
939	1567	100
940	1569	98
941	1569	96
942	1570	94
943	1571	93
944	1573	91
945	1574	89
946	1577	88
947	1579	86
948	1580	84
949	1581	83
950	1583	81
951	1584	79
952	1585	78
953	1586	76
954	1587	74
955	1589	73
956	1590	71
957	1593	69
958	1594	68
959	1596	66
960	1597	64
961	1598	63
962	1600	61
963	1601	59
964	1602	58
965	1603	56
966	1604	54
967	1609	53
968	1610	51
969	1611	49
970	1612	48
971	1613	46
972	1616	44
973	1617	43
974	1618	41
975	1620	39
976	1624	38
977	1627	36
978	1628	34
979	1629	33
980	1630	31
981	1631	29
982	1632	28
983	1633	26
984	1634	24
985	1635	23
986	1636	21
987	1639	19
988	1640	18
989	1641	16
990	1642	14
991	1643	13
992	1644	11
993	1645	9
994	1645	8
995	1646	6
996	1647	4
997	1648	3
998	1649	1
999	1650	0
